Location,Minimum,Average,Maximum
Ingolstadt,48.7631,48.7631,48.7631,1
Paramagudi,9.5494,9.5494,9.5494,1
Opoczno,51.3772,51.3772,51.3772,1
Falköping,58.175,58.175,58.175,1
Ain Dfali,34.599,34.599,34.599,1
Sinpo,40.0347,40.0347,40.0347,1
Resplendor,-19.3258,-19.3258,-19.3258,1
Kerċem,36.0406,36.0406,36.0406,1
Ceccano,41.5667,41.5667,41.5667,1
Jensen Beach,27.2437,27.2437,27.2437,1
Ada,34.7662,40.2831,45.8,2
Valley Cottage,41.1162,41.1162,41.1162,1
Zhangliangcun,37.1256,37.1256,37.1256,1
Tha Mai,12.6196,12.6196,12.6196,1
Laqraqra,32.4333,32.4333,32.4333,1
Berdsk,54.75,54.75,54.75,1
Meerssen,50.8858,50.8858,50.8858,1
Ibirama,-27.0569,-27.0569,-27.0569,1
Noboribetsu,42.4128,42.4128,42.4128,1
Kherāmeh,29.5,29.5,29.5,1
Ostermundigen,46.955,46.955,46.955,1
Olintla,20.1,20.1,20.1,1
Dongguazhen,25.079,25.079,25.079,1
Pecica,46.17,46.17,46.17,1
Chernushka,56.5167,56.5167,56.5167,1
Snovsk,51.8203,51.8203,51.8203,1
Hannut,50.6667,50.6667,50.6667,1
Elne,42.6003,42.6003,42.6003,1
Long Bình,10.9458,10.9458,10.9458,1
Tegalbuleud,-7.3578,-7.3578,-7.3578,1
Sarkad,46.75,46.75,46.75,1
Barcelona,12.8694,12.8694,12.8694,1
Cajolá,14.9252,14.9252,14.9252,1
Ochsenfurt,49.65,49.65,49.65,1
Konanūr,12.6333,12.6333,12.6333,1
Kikuyō,32.8625,32.8625,32.8625,1
Luénoufla,7.0667,7.0667,7.0667,1
Lomazzo,45.7,45.7,45.7,1
Phoenixville,40.1359,40.1359,40.1359,1
Wootton,52.2007,52.2007,52.2007,1
Yingzhou Linchang,18.4199,18.4199,18.4199,1
Sebba,13.4333,13.4333,13.4333,1
Chikuma,36.5339,36.5339,36.5339,1
Flitwick,52.0038,52.0038,52.0038,1
Palangarai,11.1978,11.1978,11.1978,1
Henichesk,46.1667,46.1667,46.1667,1
Chosica,-11.9361,-11.9361,-11.9361,1
Wermelskirchen,51.15,51.15,51.15,1
Elsmere,38.9948,38.9948,38.9948,1
Érd,47.3784,47.3784,47.3784,1
Iflissen,36.8636,36.8636,36.8636,1
Lingquan,36.9985,36.9985,36.9985,1
Elma,42.8231,42.8231,42.8231,1
Santa Lucía Cotzumalguapa,14.3333,14.3333,14.3333,1
Ajaigarh,24.8988,24.8988,24.8988,1
Fnidq,35.85,35.85,35.85,1
Mimasaka,35.0086,35.0086,35.0086,1
Amarzgane,31.05,31.05,31.05,1
Chalmette,29.9438,29.9438,29.9438,1
Villa Adelina,-34.5175,-34.5175,-34.5175,1
Elon,36.1016,36.1016,36.1016,1
Samraong,14.25,14.25,14.25,1
Sāhit,25.5888,25.5888,25.5888,1
Leppävirta,62.4917,62.4917,62.4917,1
Comarapa,-17.9158,-17.9158,-17.9158,1
Eloy,32.747,32.747,32.747,1
Waltikon,47.3667,47.3667,47.3667,1
Laascaanood,8.4774,8.4774,8.4774,1
Utazu,34.3106,34.3106,34.3106,1
Punakha,27.5833,27.5833,27.5833,1
Pārūn,35.4167,35.4167,35.4167,1
Paranaguá,-25.5208,-25.5208,-25.5208,1
Sibulan,9.35,9.35,9.35,1
Hāvi Bhauār,26.1091,26.1091,26.1091,1
Gamarra,8.3333,8.3333,8.3333,1
Bawgalegyi,18.9144,18.9144,18.9144,1
Al Musayyib,32.7786,32.7786,32.7786,1
Western Bicutan,14.5094,14.5094,14.5094,1
Lohur,38.3833,38.3833,38.3833,1
Dravograd,46.5903,46.5903,46.5903,1
Charter Oak,34.1025,34.1025,34.1025,1
Jasmine Estates,28.293,28.293,28.293,1
Kālikāpur,26.4956,26.4956,26.4956,1
Villa Aberastain,-31.65,-31.65,-31.65,1
Fgura,35.8725,35.8725,35.8725,1
Kakunodatemachi,39.5963,39.5963,39.5963,1
Antsahalava,-19.5833,-19.5833,-19.5833,1
Cumbal,0.9078,0.9078,0.9078,1
Marmagao,15.402,15.402,15.402,1
Nakhl-e Taqī,27.5014,27.5014,27.5014,1
Medeiros Neto,-17.3739,-17.3739,-17.3739,1
Imerintsiatosika,-18.9833,-18.9833,-18.9833,1
Ramainandro,-19.3,-19.3,-19.3,1
Habiganj,24.3808,24.3808,24.3808,1
Burntwood,52.6831,52.6831,52.6831,1
Oulad Cherif,31.7667,31.7667,31.7667,1
Gondomar,42.1111,42.1111,42.1111,1
Kamianka,49.0333,49.0333,49.0333,1
South Yarmouth,41.6692,41.6692,41.6692,1
Concorezzo,45.5897,45.5897,45.5897,1
Vercelli,45.3256,45.3256,45.3256,1
Chake Chake,-5.2395,-5.2395,-5.2395,1
Dornbirn,47.4167,47.4167,47.4167,1
Tuntum,-5.2578,-5.2578,-5.2578,1
Sebeş,45.96,45.96,45.96,1
Cheat Lake,39.667,39.667,39.667,1
Billerbeck,51.9792,51.9792,51.9792,1
Grosseto,42.7667,42.7667,42.7667,1
Caloundra,-26.7986,-26.7986,-26.7986,1
Gardabani,41.45,41.45,41.45,1
Yacuanquer,1.1167,1.1167,1.1167,1
Tagkawayan,13.9667,13.9667,13.9667,1
Chikmagalūr,13.3167,13.3167,13.3167,1
Aridagawa,34.0575,34.0575,34.0575,1
Rehti,22.7378,22.7378,22.7378,1
Matmata,34.1,34.1,34.1,1
Hussepur,26.1801,26.1801,26.1801,1
Pitangui,-19.6828,-19.6828,-19.6828,1
Hódmezővásárhely,46.4304,46.4304,46.4304,1
Dipaculao,15.9833,15.9833,15.9833,1
Varzedo,-12.9708,-12.9708,-12.9708,1
Hitachi-Naka,36.3967,36.3967,36.3967,1
Yulara,-25.2406,-25.2406,-25.2406,1
Boscotrecase,40.7833,40.7833,40.7833,1
Meruoca,-3.5419,-3.5419,-3.5419,1
Pyskowice,50.3833,50.3833,50.3833,1
Villeneuve-le-Roi,48.7333,48.7333,48.7333,1
Pozo Colorado,-23.43,-23.43,-23.43,1
Dayr ‘Aţīyah,34.0833,34.0833,34.0833,1
Krishnarāyapuram,10.9563,10.9563,10.9563,1
Mukumbura,-16.2,-16.2,-16.2,1
Coatbridge,55.8625,55.8625,55.8625,1
Kīlakkarai,9.2314,9.2314,9.2314,1
Betrandraka,-17.0333,-17.0333,-17.0333,1
Kamigōri,34.8736,34.8736,34.8736,1
Yunak,38.8172,38.8172,38.8172,1
Manglūr,15.5177,15.5177,15.5177,1
Merauke,-8.4932,-8.4932,-8.4932,1
Koungheul,13.9833,13.9833,13.9833,1
Māchalpur,24.1277,24.1277,24.1277,1
Beloozërskiy,55.4589,55.4589,55.4589,1
Tāla,24.3735,24.3735,24.3735,1
Nurobod Shahri,39.6086,39.6086,39.6086,1
Voerde,51.6,51.6,51.6,1
Perth East,43.47,43.47,43.47,1
Sujānpur,32.3127,32.3127,32.3127,1
Urganch,41.55,41.55,41.55,1
Piripiri,-4.2728,-4.2728,-4.2728,1
Xinying,35.706,35.706,35.706,1
Edwardsville,38.7922,38.7922,38.7922,1
Nauen,52.6,52.6,52.6,1
Pūnch,33.7703,33.7703,33.7703,1
Paso de los Libres,-29.7167,-29.7167,-29.7167,1
Tequila,20.8794,20.8794,20.8794,1
Ocean Springs,30.4082,30.4082,30.4082,1
Vero Beach,27.6463,27.6463,27.6463,1
Aki,33.5,33.5,33.5,1
Qapshaghay,43.8844,43.8844,43.8844,1
Yaguachi Nuevo,-2.12,-2.12,-2.12,1
Tāki,22.59,22.59,22.59,1
Qabqa,36.2667,36.2667,36.2667,1
Lydney,51.7286,51.7286,51.7286,1
Hioki,31.6117,31.6117,31.6117,1
Poinciana,28.1217,28.1217,28.1217,1
Galatone,40.15,40.15,40.15,1
São João,-25.8278,-17.3518,-8.8758,2
Manage,50.5,50.5,50.5,1
Emmiganūru,15.15,15.15,15.15,1
Pittsford,43.0733,43.0733,43.0733,1
Khutauna,26.4969,26.4969,26.4969,1
Várzea Paulista,-23.2114,-23.2114,-23.2114,1
Rödinghausen,52.255,52.255,52.255,1
Ala,45.75,45.75,45.75,1
Koktokay,47.0004,47.0004,47.0004,1
Wąbrzeźno,53.2833,53.2833,53.2833,1
Flores de Goiás,-14.4489,-14.4489,-14.4489,1
Guastalla,44.9167,44.9167,44.9167,1
Kitatajima,35.9821,35.9821,35.9821,1
Ābomsa,8.5833,8.5833,8.5833,1
Bridgetown,39.1552,39.1552,39.1552,1
Huasuo,35.4043,35.4043,35.4043,1
Trinity,28.1809,28.1809,28.1809,1
Uibaí,-11.3369,-11.3369,-11.3369,1
Lienen,52.1461,52.1461,52.1461,1
Argelès-sur-Mer,42.5461,42.5461,42.5461,1
Naula,25.5535,25.5535,25.5535,1
Santa Marta de Tormes,40.9494,40.9494,40.9494,1
Plum,40.5024,40.5024,40.5024,1
Calulo,-10.0007,-10.0007,-10.0007,1
Ama,35.2004,35.2004,35.2004,1
Kartārpur,31.4427,31.4427,31.4427,1
Medjez el Bab,36.6436,36.6436,36.6436,1
Indaial,-26.8978,-26.8978,-26.8978,1
Trezzo sull’Adda,45.6089,45.6089,45.6089,1
Oudenaarde,50.85,50.85,50.85,1
Kātrāvulapalle,17.1277,17.1277,17.1277,1
Ami,36.0308,36.0308,36.0308,1
Swallownest,53.3623,53.3623,53.3623,1
Śrem,52.0886,52.0886,52.0886,1
Rittō,35.0167,35.0167,35.0167,1
Joure,52.9667,52.9667,52.9667,1
Leoben,47.3817,47.3817,47.3817,1
Xiwanzi,40.9717,40.9717,40.9717,1
Kappeln,54.6614,54.6614,54.6614,1
Pavlovo,55.9667,55.9667,55.9667,1
Nuevitas,21.5403,21.5403,21.5403,1
Ibigawa,35.4873,35.4873,35.4873,1
Barra dos Coqueiros,-10.9089,-10.9089,-10.9089,1
Shimada,34.8363,34.8363,34.8363,1
Bugasong,11.0447,11.0447,11.0447,1
Bartlesville,36.7365,36.7365,36.7365,1
Garmsār,35.2183,35.2183,35.2183,1
Madīnat as Sādāt,30.3811,30.3811,30.3811,1
Iwakuni,34.1664,34.1664,34.1664,1
Ar Rass,25.8667,25.8667,25.8667,1
Markham,41.6,41.6,41.6,1
Xincun,21.696,24.68495,27.6739,2
Lucban,14.1133,14.1133,14.1133,1
Fukuyoshi,33.6832,33.6832,33.6832,1
Zierikzee,51.6497,51.6497,51.6497,1
Ashburn,39.0277,39.0277,39.0277,1
Sāhar,26.5408,26.5408,26.5408,1
Kalachinsk,55.05,55.05,55.05,1
Ans,50.6625,50.6625,50.6625,1
Nanxicun,23.4976,23.4976,23.4976,1
Kutina,45.4667,45.4667,45.4667,1
Modugno,41.0833,41.0833,41.0833,1
Ewing,40.265,40.265,40.265,1
Ait Yaazem,33.7333,33.7333,33.7333,1
Tonawanda,43.0105,43.0105,43.0105,1
Bayonet Point,28.3254,28.3254,28.3254,1
Nāspur,18.83,18.83,18.83,1
Ajā,30.9414,30.9414,30.9414,1
Itigi,-5.7,-5.7,-5.7,1
South Upi,6.8548,6.8548,6.8548,1
Santo Tirso,41.3333,41.3333,41.3333,1
Labuan,5.3,5.3,5.3,1
Biltine,14.5275,14.5275,14.5275,1
Bobon,12.5167,12.5167,12.5167,1
Ūnagatla,16.9611,16.9611,16.9611,1
Chikugo,33.2092,33.2092,33.2092,1
Livingston,37.3875,44.685467,55.8834,3
’Aïn Abessa,36.3,36.3,36.3,1
Lüdinghausen,51.7667,51.7667,51.7667,1
Lesnoy,58.6333,58.6333,58.6333,1
Saint Helens,53.45,53.45,53.45,1
Isahaya,32.85,32.85,32.85,1
Zehdenick,52.9833,52.9833,52.9833,1
Chahār Dangeh,35.6031,35.6031,35.6031,1
Ikoma,34.7,34.7,34.7,1
Huanghuajing,24.1989,24.1989,24.1989,1
Mineral del Monte,20.1333,20.1333,20.1333,1
West Carrollton,39.6701,39.6701,39.6701,1
Kontagora,10.403,10.403,10.403,1
Rānko,25.5181,25.5181,25.5181,1
Home Gardens,33.8783,33.8783,33.8783,1
Catacamas,14.8486,14.8486,14.8486,1
Vatutine,49.0167,49.0167,49.0167,1
Apt,43.8761,43.8761,43.8761,1
Zherdevka,51.85,51.85,51.85,1
Neutraubling,48.9936,48.9936,48.9936,1
Dharmavaram,14.43,16.6188,18.2164,3
Giresun,40.9153,40.9153,40.9153,1
Ānjukulippatti,10.2444,10.2444,10.2444,1
Aşağı Göycəli,41.1158,41.1158,41.1158,1
Nina Rodrigues,-3.4658,-3.4658,-3.4658,1
Betzdorf,50.7856,50.7856,50.7856,1
Elze,52.1167,52.1167,52.1167,1
Rietavas,55.7167,55.7167,55.7167,1
Cajobi,-20.88,-20.88,-20.88,1
Saladas,-28.25,-28.25,-28.25,1
Nagtala,22.3693,22.3693,22.3693,1
Taunton,41.9036,46.4613,51.019,2
Talugtug,15.7789,15.7789,15.7789,1
Zhuchangba,26.6615,26.6615,26.6615,1
Chiché,15.0106,15.0106,15.0106,1
Sainte-Geneviève-des-Bois,48.6369,48.6369,48.6369,1
Qamīnis,31.6572,31.6572,31.6572,1
Khairpur Mir’s,27.5333,27.5333,27.5333,1
Needham,42.2814,42.2814,42.2814,1
Corupá,-26.425,-26.425,-26.425,1
Ocna Mureş,46.39,46.39,46.39,1
Oqqo‘rg‘on,40.8764,40.8764,40.8764,1
Ban Ngio Ngam,17.6671,17.6671,17.6671,1
Tullahoma,35.3721,35.3721,35.3721,1
Broomall,39.9688,39.9688,39.9688,1
Alella,41.4953,41.4953,41.4953,1
Manari,-8.9639,-8.9639,-8.9639,1
Caterham,51.2803,51.2803,51.2803,1
Brasil Novo,-3.2619,-3.2619,-3.2619,1
Peumo,-34.3961,-34.3961,-34.3961,1
Majholi,23.5011,23.5011,23.5011,1
Gorenja Vas,46.1069,46.1069,46.1069,1
Fond des Blancs,18.2833,18.2833,18.2833,1
Lahstedt,52.25,52.25,52.25,1
Llantrisant,51.542,51.542,51.542,1
Ariquemes,-9.9161,-9.9161,-9.9161,1
Gholia Kalān,30.6726,30.6726,30.6726,1
Rewāri,28.18,28.18,28.18,1
Aru,2.8617,2.8617,2.8617,1
Apostolove,47.6595,47.6595,47.6595,1
Tāti,23.3772,23.3772,23.3772,1
Zhanggu,30.8795,30.8795,30.8795,1
Siddipet,18.1018,18.1018,18.1018,1
Pembroke Dock,51.6933,51.6933,51.6933,1
Colonial Park,40.2987,40.2987,40.2987,1
Sabangan,17.0044,17.0044,17.0044,1
Šilutė,55.35,55.35,55.35,1
Sweden,43.1791,43.1791,43.1791,1
Gengenbach,48.4,48.4,48.4,1
Malkanūr,18.0821,18.0821,18.0821,1
Castle Rock,39.3763,39.3763,39.3763,1
Ponnai,13.1276,13.1276,13.1276,1
Jamindan,11.4094,11.4094,11.4094,1
Aso,32.9483,32.9483,32.9483,1
Chintāmani,13.4,13.4,13.4,1
El Estor,15.5333,15.5333,15.5333,1
Rāsipuram,11.47,11.47,11.47,1
Novaya Balakhna,56.4899,56.4899,56.4899,1
Metzingen,48.5367,48.5367,48.5367,1
Glenwood Springs,39.5455,39.5455,39.5455,1
Holešov,49.3333,49.3333,49.3333,1
Itiki,14.951,14.951,14.951,1
Amirlī,34.725,34.725,34.725,1
Paide,58.8833,58.8833,58.8833,1
Snezhnogorsk,69.2,69.2,69.2,1
Yauco,18.0344,18.0344,18.0344,1
Yungay,-37.1194,-37.1194,-37.1194,1
Msoga,-6.5667,-6.5667,-6.5667,1
Ath,50.6167,50.6167,50.6167,1
Heilbronn,49.15,49.15,49.15,1
Katsuura,35.15,35.15,35.15,1
Bad Orb,50.2167,50.2167,50.2167,1
Ati,13.2133,13.2133,13.2133,1
Barretos,-20.5569,-20.5569,-20.5569,1
Bocaiúva,-17.1078,-17.1078,-17.1078,1
Porthcawl,51.48,51.48,51.48,1
Bloomsburg,41.0027,41.0027,41.0027,1
Novo Mesto,45.8,45.8,45.8,1
Mayrtup,43.2036,43.2036,43.2036,1
Espiritu,17.9806,17.9806,17.9806,1
Cumbum,15.5767,15.5767,15.5767,1
Ōmiyachō,35.2221,35.2221,35.2221,1
Misaki,34.3169,34.6574,34.9979,2
Ivoti,-29.5908,-29.5908,-29.5908,1
Palos Hills,41.6986,41.6986,41.6986,1
Aue,50.5853,50.5853,50.5853,1
Colmenar Viejo,40.6589,40.6589,40.6589,1
Maisons-Laffitte,48.9469,48.9469,48.9469,1
Great Bend,38.3593,38.3593,38.3593,1
Mount Juliet,36.199,36.199,36.199,1
Vernāg,33.5377,33.5377,33.5377,1
Bristol,36.5572,39.33216,41.6827,5
Bhadrāchalam,17.6688,17.6688,17.6688,1
Nauta,-4.5083,-4.5083,-4.5083,1
San José de Aerocuar,10.6027,10.6027,10.6027,1
Kolding,55.4917,55.4917,55.4917,1
Schleusingen,50.5167,50.5167,50.5167,1
Zwenkau,51.2175,51.2175,51.2175,1
Boscoreale,40.7667,40.7667,40.7667,1
São José da Laje,-9.01,-9.01,-9.01,1
Ikoto,4.0783,4.0783,4.0783,1
Carovigno,40.7,40.7,40.7,1
San Miguel Ixtahuacán,15.25,15.25,15.25,1
Losino-Petrovskiy,55.8744,55.8744,55.8744,1
Bobil,25.6269,25.6269,25.6269,1
Evergreen Park,41.7213,41.7213,41.7213,1
Nueva Helvecia,-34.2833,-34.2833,-34.2833,1
Geiro,-6.1428,-6.1428,-6.1428,1
Comăneşti,46.4297,46.4297,46.4297,1
Rubanda,-1.1864,-1.1864,-1.1864,1
Londuimbali,-12.2186,-12.2186,-12.2186,1
La Flèche,47.6997,47.6997,47.6997,1
Dhangaḍhi̇̄,28.7136,28.7136,28.7136,1
Koori,37.8547,37.8547,37.8547,1
Kambūr,10.1599,10.1599,10.1599,1
Quimilí,-27.6333,-27.6333,-27.6333,1
Canovellas,41.6176,41.6176,41.6176,1
Lurate Caccivio,45.7667,45.7667,45.7667,1
Oberschleißheim,48.25,48.25,48.25,1
Sesto Calende,45.7333,45.7333,45.7333,1
Narimanov,46.6833,46.6833,46.6833,1
Xinzhaidian,37.8136,37.8136,37.8136,1
Campoalegre,2.6867,2.6867,2.6867,1
Ukhta,63.5667,63.5667,63.5667,1
Geita,-2.8714,-2.8714,-2.8714,1
Ichhāpur,21.1551,21.1551,21.1551,1
Khorāgāchhi,26.3344,26.3344,26.3344,1
Trgovište,42.3514,42.3514,42.3514,1
Raismes,50.3892,50.3892,50.3892,1
Đông Hà,16.8303,16.8303,16.8303,1
Dennis,41.7064,41.7064,41.7064,1
Awa,34.1014,34.1014,34.1014,1
Wamena,-4.0975,-4.0975,-4.0975,1
Manali,13.1667,13.1667,13.1667,1
South Huron,43.32,43.32,43.32,1
Broadlands,39.0168,39.0168,39.0168,1
Hamidiye,40.0997,40.0997,40.0997,1
Pudukkottai,10.3833,10.49755,10.6118,2
Isahara,-23.7167,-23.7167,-23.7167,1
Lunbei,23.7789,23.7789,23.7789,1
Bāsmenj,37.9964,37.9964,37.9964,1
Somanya,6.1039,6.1039,6.1039,1
Avellaneda,-34.6625,-31.89,-29.1175,2
Huauchinango,20.1767,20.1767,20.1767,1
Yakumo,42.256,42.256,42.256,1
Danlí,14.0328,14.0328,14.0328,1
Al ‘Ashārah,34.9203,34.9203,34.9203,1
Ramsey,41.0595,43.1606,45.2617,2
Plaisir,48.8183,48.8183,48.8183,1
Toribío,2.9581,2.9581,2.9581,1
Timperley,53.387,53.387,53.387,1
Anse-à-Foleur,19.9,19.9,19.9,1
Culpeper,38.4704,38.4704,38.4704,1
Karanganyar,-7.6033,-7.6033,-7.6033,1
Sant’Anastasia,40.8667,40.8667,40.8667,1
Ghaura,24.5059,24.5059,24.5059,1
Datteln,51.6539,51.6539,51.6539,1
Caluco,13.7167,13.7167,13.7167,1
Rānti,26.3519,26.3519,26.3519,1
Villa Altagracia,18.6667,18.6667,18.6667,1
Brzeg Dolny,51.2708,51.2708,51.2708,1
Sotik Post,-0.7813,-0.7813,-0.7813,1
Atarfe,37.2229,37.2229,37.2229,1
San Vicente de Tagua Tagua,-34.4394,-34.4394,-34.4394,1
Es Senia,35.6478,35.6478,35.6478,1
Daly City,37.6862,37.6862,37.6862,1
Shaoshanzhan,27.91,27.91,27.91,1
Maychew,12.7833,12.7833,12.7833,1
Medina del Campo,41.3,41.3,41.3,1
Villa Luzuriaga,-34.6667,-34.6667,-34.6667,1
Varzelândia,-15.7008,-15.7008,-15.7008,1
Castle Bromwich,52.505,52.505,52.505,1
Ambondrona,-21.2667,-21.2667,-21.2667,1
Rewāhi,26.2698,26.2698,26.2698,1
Murlīganj,25.9,25.9,25.9,1
Dambai,8.0689,8.0689,8.0689,1
Lagawe,16.7975,16.7975,16.7975,1
Ballenger Creek,39.3807,39.3807,39.3807,1
Coyuca de Catalán,18.3256,18.3256,18.3256,1
Pershotravensk,48.3464,48.3464,48.3464,1
Kaithāhi,26.3488,26.3488,26.3488,1
Dambal,15.296,15.296,15.296,1
Olopa,14.6833,14.6833,14.6833,1
Pérols,43.565,43.565,43.565,1
Wehrheim,50.3033,50.3033,50.3033,1
Boldājī,31.9383,31.9383,31.9383,1
Esquipulas,12.6639,13.640301,14.6167,2
Santa María La Pila,15.6056,15.6056,15.6056,1
Ayr,-19.5744,17.9418,55.458,2
Dougba,8.4497,8.4497,8.4497,1
Emba,48.8267,48.8267,48.8267,1
Nuoro,40.3167,40.3167,40.3167,1
Songlindian,39.41,39.41,39.41,1
Athens,32.2041,35.1447,39.327,5
Sokcho,38.2069,38.2069,38.2069,1
Arcadia,34.1342,38.610603,43.087,2
Bhainsoda,24.4427,24.4427,24.4427,1
Kyshtym,55.7,55.7,55.7,1
Huatan,24.0316,24.0316,24.0316,1
Hawick,55.422,55.422,55.422,1
Ukiah,39.1464,39.1464,39.1464,1
Embu,-0.5389,-0.5389,-0.5389,1
Porto Inglês,15.138,15.138,15.138,1
River Grove,41.9243,41.9243,41.9243,1
Alafaya,28.528,28.528,28.528,1
Vleuten,52.1081,52.1081,52.1081,1
Nova Viçosa,-17.8919,-17.8919,-17.8919,1
Echague,16.7056,16.7056,16.7056,1
Upington,-28.4572,-28.4572,-28.4572,1
Sāhna,30.4293,30.4293,30.4293,1
Edgewater,28.9594,36.24013,40.8237,3
Butte,45.902,45.902,45.902,1
Leiderdorp,52.1667,52.1667,52.1667,1
Manatí,10.445,16.729233,21.3144,3
Crna Trava,42.8101,42.8101,42.8101,1
Itambacuri,-18.0364,-18.0364,-18.0364,1
Coronel Freitas,-26.9089,-26.9089,-26.9089,1
Emet,39.3333,39.3333,39.3333,1
Kamyzyak,46.1167,46.1167,46.1167,1
San Clemente,-35.55,4.537267,33.4499,3
Zaslawye,54.0083,54.0083,54.0083,1
Shangluhu,23.2538,23.2538,23.2538,1
Metlika,45.6517,45.6517,45.6517,1
Donduşeni,48.2167,48.2167,48.2167,1
Poynton,53.35,53.35,53.35,1
Gudensberg,51.1833,51.1833,51.1833,1
Ripley,53.05,53.05,53.05,1
Mortsel,51.1667,51.1667,51.1667,1
California City,35.1578,35.1578,35.1578,1
Kosigi,15.8542,15.8542,15.8542,1
Nautan Dube,26.7118,26.7118,26.7118,1
Anilao,10.9785,10.9785,10.9785,1
Viqueque,-8.85,-8.85,-8.85,1
Madeira,39.1856,39.1856,39.1856,1
Beniaján,37.9833,37.9833,37.9833,1
Mayenne,48.3031,48.3031,48.3031,1
Agutaya,11.152,11.152,11.152,1
Rodeio,-26.9228,-26.9228,-26.9228,1
Mayarí,20.6592,20.6592,20.6592,1
Latham,42.7427,42.7427,42.7427,1
Potirendaba,-21.0428,-21.0428,-21.0428,1
Shumikha,55.2333,55.2333,55.2333,1
Kurabalakota,13.65,13.65,13.65,1
Chongoroi,-13.5667,-13.5667,-13.5667,1
Ituberá,-13.7319,-13.7319,-13.7319,1
Vannivedu,12.9173,12.9173,12.9173,1
Tamallalt,31.8289,31.8289,31.8289,1
Al Jabīn,14.704,14.704,14.704,1
Cabusao,13.7275,13.7275,13.7275,1
Vertientes,21.2569,21.2569,21.2569,1
Kirchzarten,47.9667,47.9667,47.9667,1
Tupanciretã,-29.0808,-29.0808,-29.0808,1
Comasagua,13.6333,13.6333,13.6333,1
Cunit,41.1976,41.1976,41.1976,1
Nao Kothi,25.5196,25.5196,25.5196,1
South Normanton,53.107,53.107,53.107,1
Aimorés,-19.4958,-19.4958,-19.4958,1
White Horse,40.1919,40.1919,40.1919,1
Orşova,44.7253,44.7253,44.7253,1
Macará,-4.3833,-4.3833,-4.3833,1
Ōamishirasato,35.5167,35.5167,35.5167,1
Payakumbuh,-0.2333,-0.2333,-0.2333,1
